Boost ID,Platform,Brand,Content,Episode,Start,End,Total Budget,Total Spent,Delivered Views,CPM,Proj Views,Proj CPM,Fanatics?,Segment?,Curation/Integration?,WHG?,Standard?,Month
282,TW,T-Mobile,TMO Derby Reel 2,TW,7/21,7/22,$300.00,$300.03,"188,076",$1.60,"150,000",$2.00,,,Y,,,7
283,TW,T-Mobile,TMO Derby Reel 3,TW,7/21,7/22,$300.00,$300.04,"184,281",$1.63,"150,000",$2.00,,,Y,,,7
284,TW,National,TB Joez Reel 2,X Link,7/21,7/22,$300.00,$300.00,"177,318",$1.69,"150,000",$2.00,,Y,,,,7
285,TW,Xfinity,Yanks Reel 1 Pt. 5,X Link,7/21,7/22,$300.00,$300.04,"200,627",$1.50,"150,000",$2.00,,,Y,,,7
286,TW,National,National JMB Clip 1 Pt. 2,X Link,7/22,7/23,$300.00,$300.49,"208,428",$1.44,"150,000",$2.00,,Y,,,,7
287,TW,T-Mobile,TMO Bests of the Month,X Link,7/22,7/22,$75.00,$75.00,"51,405",$1.46,"37,500",$2.00,,,Y,,,7
288,TW,National,National JMB Clip 2,X Link,7/22,7/23,$300.00,$300.00,"170,492",$1.76,"150,000",$2.00,,Y,,,,7
289,FB,Coors,Social Clip #38,,7/23,7/24,$180.00,$111.71,"25,146",$4.44,"45,000",$4.00,,Y,,,,7
290,FB,Sam Adams,Jolly Ep 2,,7/23,7/25,$405.00,$404.85,"77,735",$5.21,"101,250",$4.00,,,,,Y,7
291,FB,T-Mobile,TMO Bests of the Month,,7/23,7/29,"$2,002.00",$368.90,"112,100",$3.29,"500,500",$4.00,,,Y,,,7
292,TW,T-Mobile,TMO Derby Reel 1,TW,7/23,7/24,$300.00,$300.03,"167,998",$1.79,"150,000",$2.00,,,Y,,,7
293,TW,T-Mobile,TMO Derby Reel 2,TW,7/23,7/24,$300.00,$300.03,"140,447",$2.14,"150,000",$2.00,,,Y,,,7
294,TW,T-Mobile,TMO Derby Reel 3,TW,7/23,7/24,$300.00,$300.02,"148,682",$2.02,"150,000",$2.00,,,Y,,,7
295,TW,National,TB Joez Reel 2 Pt. 2,X Link,7/23,7/24,$300.00,$300.17,"147,027",$2.04,"150,000",$2.00,,Y,,,,7
296,TW,Xfinity,Yanks Reel 1 Pt. 6,X Link,7/23,7/24,$300.00,$300.02,"194,306",$1.54,"150,000",$2.00,,,Y,,,7
297,TW,National,Houston JMB Clip 1,X Link,7/23,7/24,$300.00,$300.02,"146,987",$2.04,"150,000",$2.00,,Y,,,,7
298,TW,Amazon,All-Star Clip,X Link,7/23,7/24,$300.00,$300.03,"156,941",$1.91,"150,000",$2.00,,Y,,,,7
299,TW,KFC,All-Star Clip,TW,7/23,7/24,$300.00,$300.03,"155,617",$1.93,"150,000",$2.00,,Y,,,,7
300,TT,Xfinity,2025 All-Stars,TT Link,7/23,7/26,"$1,000.00","$1,000.00","439,900",$2.27,"400,000",$2.50,,,Y,,,7
301,TT,Amazon,Trev Reel 1 Pt. 2,TT Link,7/23,7/24,$220.00,$220.00,"97,100",$2.27,"88,000",$2.50,,,Y,,,7
302,TW,National,National JMB Clip 2,X Link,7/24,7/24,$50.00,$50.02,"29,061",$1.72,"25,000",$2.00,,Y,,,,7
303,FB,Xfinity,Swilly Food Reel (Keller),FBR Link,7/24,7/27,$600,$387.77,"96,048",$4.04,"150,000",$4.00,,,Y,,,7
304,TT,Apple TV,FNB Deep Dive,TT Link,7/24,7/27,"$1,350.00","$1,130.00","506,210",$2.23,"337,500",$4.00,,,Y,,,7
305,TT,Apple TV,Bespoke Social,TT Link,7/24,7/27,"$1,000.00","$1,000.00","442,620",$2.26,"250,000",$4.00,,,Y,,,7
306,FB,Rawlings,Play of the Month,FB Link,7/25,7/31,"$1,950.00","$1,762.06","482,500",$3.65,"487,500",$4.00,,,Y,,,7
307,FB,Sam Adams,Jolly Ep 3,,7/25,7/30,$350.00,$169.87,"44,719",$3.80,"87,500",$4.00,,,,,Y,7
308,FB,Sam Adams,TB Ep 1,FB Link,7/25,7/25,$100,$99.41,"20,591",$4.83,"25,000",$4.00,,,,,Y,7
309,FB,Sam Adams,TB Ep 2,FB Link,7/25,7/25,$100,$99.14,"20,659",$4.80,"25,000",$4.00,,,,,Y,7
310,TW,T-Mobile,TMO Derby Reel 2,TW,7/26,7/27,$300.00,$300.03,"143,877",$2.09,"150,000",$2.00,,,Y,,,7
311,TW,T-Mobile,TMO Derby Reel 3,TW,7/26,7/27,$300.00,$300.02,"178,330",$1.68,"150,000",$2.00,,,Y,,,7
312,TW,Xfinity,Yanks Reel 1 Pt. 7,X Link,7/26,7/27,$300.00,$300.02,"210,517",$1.43,"150,000",$2.00,,,Y,,,7
313,TW,National,Houston JMB Clip 1 Pt. 2 ,X Link,7/26,7/27,$300.00,$300.00,"161,167",$1.86,"150,000",$2.00,,Y,,,,7
314,TW,National,Houston JMB Clip 2,X Link,7/26,7/27,$300.00,$300.15,"207,546",$1.45,"150,000",$2.00,,Y,,,,7
315,TW,National,TB Joez Reel 2 Pt. 3,X Link,7/26,7/27,$300.00,$300.03,"173,016",$1.73,"150,000",$2.00,,Y,,,,7
316,TW,Xfinity,Joez Reel 1,X Link,7/27,7/28,$300.00,$300.01,"164,340",$1.83,"150,000",$2.00,,,Y,,,7
317,TW,KFC,KFC ASW Reel 1,TW,7/27,7/27,$150.00,$150.05,"72,010",$2.08,"75,000",$2.00,,,Y,,,7
318,TW,KFC,KFC ASW Reel 2,TW,7/27,7/27,$150.00,$150.02,"82,084",$1.83,"75,000",$2.00,,,Y,,,7
